1.1490 0.9585
1.1943 1.4569
0.9298 0.9298
1.4738 1.2302
0.8592 1.1628
0.8610 0.8603
1.0726 0.4260
0.4825 0.8313
0.6962 1.0943
0.7276 0.5763
1.4397 0.9323
1.0203 0.5726
0.8367 1.0333
0.6547 1.1127
0.8198 0.9125
0.8195 1.5557
0.9960 0.6827
1.2468 0.6337
1.0627 0.4121
0.6015 1.0591
1.2215 1.0514
0.9653 0.9097
0.5564 0.7840
0.8618 1.3171
1.1031 0.4711
1.0972 0.8845
0.7969 1.1835
1.3093 1.2794
0.7482 0.9072
1.0994 1.2927
0.8562 0.9443
0.6681 0.6411
1.2438 1.4069
0.9784 1.3011
1.1085 0.8065
1.1084 1.4614
0.9893 1.4694
0.2141 1.2466
1.0261 0.9103
1.0275 0.4037
0.9341 1.1071
1.4434 0.8445
0.7575 0.8495
1.2746 1.0986
0.8411 1.1540
1.0291 1.2906
0.7894 0.9017
0.8824 0.5609
1.0888 1.0783
1.0015 0.9296
3.5754 3.8738
3.8972 3.7593
3.9516 4.1212
4.5659 4.0524
4.0773 3.9777
3.4244 3.9920
4.0181 4.7390
3.9423 4.0905
3.9896 3.6494
4.3428 4.2256
4.2373 3.7272
4.4208 3.5794
4.1761 4.6571
3.7028 3.8301
4.0299 3.8490
3.5348 4.0206
3.6813 4.1421
3.7242 4.4650
3.7650 3.9034
4.2441 3.6307
4.0682 4.3921
3.5178 4.0554
4.0780 4.2345
3.6289 3.6039
4.1566 4.0891
4.0751 4.1039
3.7960 4.0697
4.0879 3.7857
4.5597 4.1421
3.6426 4.1970
3.7076 4.2361
4.3476 3.7538
4.2890 4.1238
4.2466 4.5690
3.9264 3.7739
3.7331 3.7553
3.9769 4.1023
4.0830 4.2482
4.0039 4.4361
3.9206 4.8161
4.1877 3.7429
3.6787 4.1447
3.9330 4.2142
4.1420 3.9782
3.7460 3.5455
3.8660 4.2569
4.0642 3.6263
4.0520 4.1156
3.7348 4.0461
4.0175 3.6571
